| Gap ID | Control category | Gap type | Gap statement | Status label | Related risk | Related threat | Evidence basis | Missing evidence | Gap severity candidate | Remediation priority | Later validation method |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| GAP-10-001 | Authentication controls | Residual-risk gap | Source shows relevant authentication surfaces; runtime lifecycle behavior is not validated. | IMPLEMENTED-CANDIDATE | AUTH-01 / RAG-01 | TH-13 | CC-01; PHASE 9 authentication evidence; PHASE 9A auth review; source: backend/onyx/auth/jwt.py; backend/onyx/auth/api_key.py; backend/onyx/auth/pat.py; web/src/app/auth/login/EmailPasswordForm.tsx | Executed token/login lifecycle results; secret-storage validation. | Medium gap candidate | P2 candidate | Run targeted authentication integration and E2E lifecycle checks. |
| GAP-10-002 | Authentication controls | Unverified control gap | Source is consistent with account/logout handling but does not prove revocation or replay resistance. | UNVERIFIED | AUTH-03 / AUTH-05 | TH-13 / TH-14 | CC-03; MISSING-TEST-001; PHASE 9A login/logout flow; source: backend/onyx/auth/users.py; backend/onyx/auth/utils.py; web/src/app/auth/logout/route.ts | Executed logout cookie-clearing and replay tests. | Unverified gap | Unverified | Run browser logout and API token replay validation with recorded evidence. |
| GAP-10-003 | Authorization controls | Residual-risk gap | Permission and role control candidates are present; exhaustive route coverage is not proven. | IMPLEMENTED-CANDIDATE | AUTHZ-01 / AUTHZ-02 / AUTHZ-04 / RAG-01 | TH-02 / TH-03 / TH-04 | CC-04 / CC-05; PHASE 9 authorization evidence; PHASE 10A findings 1-3; source: backend/onyx/auth/permissions.py; backend/onyx/hooks/api_dependencies.py; backend/ee/onyx/server/auth_check.py | Route-by-route allow/deny execution evidence. | Medium gap candidate | P2 candidate | Run authorization matrix integration tests and capture results. |
| GAP-10-004 | Authorization controls | Missing control gap | No dedicated route-by-route authorization audit artifact or executed alignment evidence was found. | MISSING-CANDIDATE | AUTHZ-05 | TH-03 / TH-04 | CC-06; MISSING-TEST-002; PHASE 10A backend/frontend enforcement; source: web/src/app/admin/layout.tsx; web/src/app/admin/users/page.tsx; web/src/app/admin/groups/page.tsx | Backend deny/allow results paired with frontend navigation results. | High gap candidate | P1 candidate | Create and execute an admin/curator route matrix. |
| GAP-10-005 | Retrieval ACL controls | Runtime validation gap | Retrieval and permission-sync candidates exist, but search-time ACL behavior is not executed here. | PARTIAL-CANDIDATE | ACL-01 / ACL-02 / RAG-01 | TH-01 / TH-03 / TH-05 / TH-06 | CC-07 / CC-08; MISSING-TEST-003; PHASE 10A document ownership checks; source: backend/onyx/document_index/vespa/chunk_retrieval.py; backend/onyx/document_index/vespa/vespa_document_index.py; backend/onyx/db/document_access.py | Recorded search-result ACL enforcement output for different users/groups. | Critical gap candidate | P0 candidate | Run multitenant/search permission integration tests and capture outputs. |
| GAP-10-006 | Retrieval ACL controls | Unverified control gap | Citation/source handling files exist, but citation privacy was not validated. | UNVERIFIED | ACL-05 / RAG-04 | TH-08 | CC-09; PHASE 9 retrieval and prompt/context evidence; source: backend/onyx/chat/citation_utils.py; backend/onyx/server/features/search/api.py; web/src/components/search/results/Citation.tsx | Citation output evidence under restricted-access scenarios. | Unverified gap | Unverified | Run citation-visibility tests with inaccessible-source fixtures. |
| GAP-10-007 | Ingestion controls | Partial control gap | Ingestion candidates and tests/evidence are mapped, but no malicious or overscoped ingestion runtime validation was run. | PARTIAL-CANDIDATE | RAG-05 / CONN-05 | TH-06 / TH-07 / TH-09 / TH-12 | CC-10 / CC-11 / CC-12; PHASE 9 ingestion evidence; source: rag-security-readiness-review/02_evidence/phase_8/ingestion_risk_to_code.md | Executed ingestion scope, file safety, and indexing integrity results. | High gap candidate | P1 candidate | Run targeted ingestion integration checks with recorded fixtures and outputs. |
| GAP-10-008 | Prompt/context controls | Partial control gap | Prompt/context candidates exist, but adversarial prompt-injection behavior was not executed. | PARTIAL-CANDIDATE | PI-01 / PI-02 / PI-03 / PI-04 / PI-05 / RAG-04 | TH-07 / TH-08 / TH-10 / TH-11 | CC-13 / CC-14 / CC-15; MISSING-TEST-004; PHASE 9 prompt/context evidence; source: rag-security-readiness-review/02_evidence/phase_8/prompt_risk_to_code.md | Prompt-injection regression results and LLM-context inspection output. | High gap candidate | P1 candidate | Run prompt/context safety tests with benign and adversarial documents. |
| GAP-10-009 | Connector controls | Partial control gap | Connector and permission-sync paths are mapped; live connector state and sync timeliness are not validated. | PARTIAL-CANDIDATE | CONN-01 / CONN-02 / CONN-03 / CONN-04 | TH-05 / TH-06 / TH-07 / TH-13 / TH-14 | CC-16 / CC-17; PHASE 9 connector evidence; PHASE 10A permission sync logic; source: rag-security-readiness-review/02_evidence/phase_8/connector_risk_to_code.md; backend/ee/onyx/background/celery/tasks/doc_permission_syncing/tasks.py | Connector sync logs, DB state, and source-system permission comparison. | High gap candidate | P1 candidate | Run connector permission-sync validation and compare with source permissions. |
